Rank,Title,Rating,TotalVotes,Genre1,Genre2,Genre3,MetaCritic,Budget,Runtime
1,12 Years a Slave (2013),8.1,"496,092",Biography,Drama,History,96,"$20,000,000 ",134 min
2,127 Hours (2010),7.6,"297,075",Adventure,Biography,Drama,82,"$18,000,000 ",94 min
3,50/50 (2011),7.7,"283,935",Comedy,Drama,Romance,72,"$8,000,000 ",100 min
4,About Time (2013),7.8,"225,412",Comedy,Drama,Fantasy,NA,"$12,000,000 ",123 min
5,Amour (2012),7.9,"76,121",Drama,Romance,,94,"$8,900,000 ",127 min
6,Argo (2012),7.7,"486,840",Action,Biography,Drama,86,"$44,500,000 ",120 min
7,Arrival (2016),8,"370,842",Drama,Mystery,Sci-Fi,81,"$47,000,000 ",116 min
8,Beasts of No Nation (2015),7.8,"51,781",Drama,War,,79,"$6,000,000 ",137 min
9,Before Midnight (2013),7.9,"106,553",Drama,Romance,,94,"$3,000,000 ",109 min
10,Big Hero 6 (2014),7.8,"315,485",Animation,Action,Adventure,74,"Opening Weekend:         56,215,889              (USA)      (7 November 2014)",
11,Birdman or (The Unexpected Virtue of Ignorance) (2014),7.8,"448,725",Comedy,Drama,,88,"$18,000,000 ",119 min
12,Black Swan (2010),8,"587,893",Drama,Thriller,,79,"$13,000,000 ",108 min
13,Boyhood (2014),7.9,"290,327",Drama,,,100,"$4,000,000 ",165 min
14,Bridge of Spies (2015),7.6,"223,756",Drama,History,Thriller,81,"$40,000,000 ",142 min
15,Captain America: Civil War (2016),7.9,"431,555",Action,Adventure,Sci-Fi,75,"$250,000,000 ",147 min
16,Captain America: The Winter Soldier (2014),7.8,"552,706",Action,Adventure,Sci-Fi,70,"$170,000,000 ",136 min
17,Captain Fantastic (2016),7.9,"115,194",Comedy,Drama,,72,"Opening Weekend:         93,824              (USA)      (8 July 2016)",
18,Captain Phillips (2013),7.8,"350,818",Biography,Drama,Thriller,83,"$55,000,000 ",134 min
19,Creed (2015),7.6,"179,795",Drama,Sport,,82,"$35,000,000 ",133 min
20,Dallas Buyers Club (2013),8,"357,641",Biography,Drama,,84,"$5,000,000 ",117 min
21,Dawn of the Planet of the Apes (2014),7.6,"349,646",Action,Adventure,Drama,79,"$170,000,000 ",130 min
22,Deadpool (2016),8,"652,127",Action,Adventure,Comedy,65,"$58,000,000 ",108 min
23,Despicable Me (2010),7.7,"417,592",Animation,Adventure,Comedy,72,"Opening Weekend:         56,397,125              (USA)      (9 July 2010)",
24,Detachment (2011),7.7,"62,352",Drama,,,NA,"Opening Weekend:         10,739              (USA)      (16 March 2012)",
25,Disconnect (2012),7.6,"65,448",Drama,Thriller,,64,"$10,000,000 ",115 min
26,Django Unchained (2012),8.4,"1,056,822",Drama,Western,,81,"$100,000,000 ",165 min
27,Doctor Strange (2016),7.6,"328,932",Action,Adventure,Fantasy,72,"$165,000,000 ",115 min
28,Drive (2011),7.8,"467,642",Crime,Drama,,78,"$15,000,000 ",100 min
29,Edge of Tomorrow (2014),7.9,"480,513",Action,Adventure,Sci-Fi,71,"$178,000,000 ",113 min
30,End of Watch (2012),7.7,"194,675",Crime,Drama,Thriller,68,"$7,000,000 ",109 min
31,Ex Machina (2014),7.7,"348,550",Drama,Mystery,Sci-Fi,78,"$15,000,000 ",108 min
32,Flipped (2010),7.7,"66,461",Comedy,Drama,Romance,NA,"$14,000,000 ",
33,Fury (2014),7.6,"337,571",Action,Drama,War,64,"$68,000,000 ",134 min
34,Gone Girl (2014),8.1,"649,474",Crime,Drama,Mystery,79,"$61,000,000 ",149 min
35,Gravity (2013),7.8,"630,890",Drama,Sci-Fi,Thriller,96,"$100,000,000 ",91 min
36,Guardians of the Galaxy (2014),8.1,"778,220",Action,Adventure,Sci-Fi,76,"$170,000,000 ",121 min
37,Hacksaw Ridge (2016),8.2,"244,314",Biography,Drama,History,71,"$40,000,000 ",139 min
38,Harry Potter and the Deathly Hallows: Part 1 (2010),7.7,"363,226",Adventure,Family,Fantasy,65," £150,000,000",146 min
39,Hell or High Water (2016),7.7,"125,026",Crime,Drama,Thriller,88,"$12,000,000 ",102 min
40,Her (2013),8,"398,431",Drama,Romance,Sci-Fi,90,"$23,000,000 ",126 min
41,Hidden Figures (2016),7.8,"111,357",Biography,Drama,History,74,"$25,000,000 ",127 min
42,How to Train Your Dragon 2 (2014),7.9,"240,983",Animation,Action,Adventure,76,"Opening Weekend:         49,451,322              (USA)      (13 June 2014)",
43,How to Train Your Dragon (2010),8.1,"532,296",Animation,Action,Adventure,74,"Opening Weekend:         43,732,319              (USA)      (26 March 2010)",
44,Hugo (2011),7.5,"261,953",Adventure,Drama,Family,83,"$150,000,000 ",126 min
45,Hunt for the Wilderpeople (2016),7.9,"56,964",Adventure,Comedy,Drama,81,"Opening Weekend:         77,298              (USA)      (24 June 2016)",
46,"I, Daniel Blake (2016)",7.9,"28,350",Drama,,,78,"Opening Weekend:         18,682              (USA)      (2 June 2017)",
47,Inception (2010),8.8,"1,609,713",Action,Adventure,Sci-Fi,74,"$160,000,000 ",148 min
48,Inside Out (2015),8.2,"430,229",Animation,Adventure,Comedy,94,"$175,000,000 ",95 min
49,Interstellar (2014),8.6,"1,075,163",Adventure,Drama,Sci-Fi,74,"$165,000,000 ",169 min
50,Kick-Ass (2010),7.7,"461,860",Action,Comedy,,66,"$30,000,000 ",117 min
